created_at,tweet,sentiment,compound
2019-03-14 22:33,StopAndDecrypt derose MrHodl slavefootjesus MatijaHribernik mikeinspace alpacasw vakeraj rm0rf Th3Acist Then bitcoin has never hard forked But I find that hard to believe ,0.115,0.1511
2019-03-14 22:33,I think the single best use case for bitcoin over the next five years is the collateralization of real world assets to facilitate banking As a matter of fact I dont even know what number two is  ,0.217,0.743
2019-03-14 22:33,Current prices on the GeminiDotCom cryptocurrency exchange BTCUSD $385369 ETHUSD $13148 ZECUSD $5162 LTCUSD $5545 BCHUSD $13102 $BTC $ETH $LTC $ZEC bitcoin ethereum litecoin zcash  ,0.0,0.0
2019-03-14 22:33,At this years MIT Bitcoin Expo SEC Commissioner HesterPeirce and former CFTC Chairman Gary Gensler launched into a discussion on what regulators can do better to protect investors from fraud and malicious actors  ,0.18,0.296
2019-03-14 22:33,SEC chairman makes comments about bitcoin ETF on Fox News  ,0.0,0.0
2019-03-14 22:33,SteveRyder20 MizaninBogota HippieFH BogotaMeltzer CBWALive BoltsyAmsterdam TheEyeOfGibson MrJerryJarett BogotaKeller BigBubbaBogota BogotaBuford GODBOLDUNREAL ArnFNAnderson CbwaLars BogotaBlake bogotaZman fakestanlane BogotaBobbiKate chillirwin BogotaBuff TheThundertaker BogotaResnick TomVuSeminar PNNewsJR dkg46342 OleAnderson GeneAnderson GlamournotGirl fakeCornette BogotaHogan TheArabianGiant SlickInBogota bixfoot PorkChopGas Mistertbones AmishDaleTime DeaconDispair RussoDestroyer HotstuffINT007 MouthofBogota papapaulbear hartfoundations MrKlondikeBill DynamiteDale123 TheKingChivas TheChineseGiant HonkyTonkAir KiddKobalt I will always be a big fan Keep up the great work and enjoy the bitcoin ,0.173,0.9022
2019-03-14 22:33,manville1111 CoinAxis PeterRizun Down the road I expect people will interact with the bitcoin network and lightning network with no awareness of any of this stuff It will all be handled invisibly under the hood by software All they do is send or receive bitcoin how that happens is technical details only ,0.088,-0.5719
2019-03-14 22:33,Cboe have delisted bitcoin Not surprised it was dead CME still doing decent volume but a blow for the institutions are coming narrative  ,0.166,-0.4557
2019-03-14 22:33,I love the portion of the interview where fundstrat mentions that bitcoin needs to fix the drop from $6K to $3K BROUGHT BY THE BCH BSV FORK Glad someone finally said it Thank you Tom for bringing a fresh and clear perspective crypto ,0.282,0.91
2019-03-14 22:33,Planaria Systems Programming Interface Opening up a whole new dimension to programming Bitcoin powered state machines  ,0.152,0.3612
2019-03-14 22:33,JVBitcoin DigiKahvi It is a must have in your bag Check out this bitcoin litecoin and Digibyte comparison  👉,0.0,0.0
2019-03-14 22:33,You chase money every single day You stress over money all your life You worship money But you have no idea why money is valuable Money controls your life because you have no understanding of what it is Once you ask yourself What is money Bitcoin will make sense ,0.131,-0.1901
2019-03-14 22:33,Buyer in Europe seeking Bitcoin Litecoin Bitcoin Cash Ethereum Dash Direct message for details InsanityIsFree WendyMcElroy1 ThePeteRaymond thefreerifleman RisingDarkstar ohiobitcoin RachelRexxx VitalikButerin naomibrockwell ,0.0,0.0
2019-03-14 22:33,internettara12 EXPLAIN DELEUZE TO ME OR ILL FUCKING KILL YOU DONT DUMB IT DOWN INTO SOME VAGUE SHIT EXPLAIN THE KRASSENSTEINS TO ME RIGHT NOW OR ILL LITERALLY FUCKING KILL YOu WHY THE FUCK DO THEY LIKE BITCOIN WHAT THE FUCK IS MUELLER TIME DONT DUMB IT DOWN OR ILL FUCKING KILL YOU ,0.459,-0.9881
2019-03-14 22:33,The most likely path to mass market consumer adoption of Bitcoin Via kyletorpey and billbarhydt AbraGlobal  ,0.0,0.0
2019-03-14 22:33,Boeing in Turbulence with $600 Billion in Orders Under Threat Has Stock Bottomed cryptonews cryptolife cryptocurrency tradingcrypto ethereum btc bitcoin blockchain crypto eth cryptocurrencynews CryptoNews cryptoinvestor cryptocurrencies  ,0.191,-0.7096
2019-03-14 22:33,Bitcoin Trades Flat While Altcoins Tease Bull Breakout via CoinDesk ,0.226,0.1779
2019-03-14 22:34,LinaSeiche saifedean Bitcoin payments are instant with BSV the protocol that follows the whitepaper BTC is crippled because it no longer follows the Bitcoin whitepaper hence your 20 minute wait amp high tx fee Thats not Bitcoin at all And that book is the worst thing you could have purchased ,0.109,0.0258
2019-03-14 22:34,Partisangirl 22 The world produce 100 millions barrels of Oil daily 70M are sold in $USD4Billion3billion Profits gt any commerce Allows USA to issue GovBonds to supply their 25% deficit 2018 MaduroRussia tried and failed to sell oil in PETRO a cripto like Bitcoin ,0.164,-0.296
